ID,Model,HGNC,Transcription_factor,Model_length,Quality,TF_family,EntrezGene,UniProt_ID,TFclass
KLF16_HUMAN.H11MO.0.D,KLF16_HUMAN.H11MO.0.D,KLF16,KLF16,19,D,Three-zinc finger Krueppel-related factors{2.3.1},83855,KLF16_HUMAN,2.3.1
KLF1_HUMAN.H11MO.0.A,KLF1_HUMAN.H11MO.0.A,KLF1,KLF1,14,A,Three-zinc finger Krueppel-related factors{2.3.1},10661,KLF1_HUMAN,2.3.1
KLF3_HUMAN.H11MO.0.B,KLF3_HUMAN.H11MO.0.B,KLF3,KLF3,19,B,Three-zinc finger Krueppel-related factors{2.3.1},51274,KLF3_HUMAN,2.3.1
KLF4_HUMAN.H11MO.0.A,KLF4_HUMAN.H11MO.0.A,KLF4,KLF4,10,A,Three-zinc finger Krueppel-related factors{2.3.1},9314,KLF4_HUMAN,2.3.1
KLF5_HUMAN.H11MO.0.A,KLF5_HUMAN.H11MO.0.A,KLF5,KLF5,14,A,Three-zinc finger Krueppel-related factors{2.3.1},688,KLF5_HUMAN,2.3.1
KLF6_HUMAN.H11MO.0.A,KLF6_HUMAN.H11MO.0.A,KLF6,KLF6,19,A,Three-zinc finger Krueppel-related factors{2.3.1},1316,KLF6_HUMAN,2.3.1
KLF8_HUMAN.H11MO.0.C,KLF8_HUMAN.H11MO.0.C,KLF8,KLF8,9,C,Three-zinc finger Krueppel-related factors{2.3.1},11279,KLF8_HUMAN,2.3.1
KLF9_HUMAN.H11MO.0.C,KLF9_HUMAN.H11MO.0.C,KLF9,KLF9,15,C,Three-zinc finger Krueppel-related factors{2.3.1},687,KLF9_HUMAN,2.3.1
LBX2_HUMAN.H11MO.0.D,LBX2_HUMAN.H11MO.0.D,LBX2,LBX2,11,D,NK-related factors{3.1.2},85474,LBX2_HUMAN,3.1.2
LEF1_HUMAN.H11MO.0.A,LEF1_HUMAN.H11MO.0.A,LEF1,LEF1,14,A,TCF-7-related factors{4.1.3},51176,LEF1_HUMAN,4.1.3
LHX2_HUMAN.H11MO.0.A,LHX2_HUMAN.H11MO.0.A,LHX2,LHX2,12,A,HD-LIM factors{3.1.5},9355,LHX2_HUMAN,3.1.5
LHX3_HUMAN.H11MO.0.C,LHX3_HUMAN.H11MO.0.C,LHX3,LHX3,13,C,HD-LIM factors{3.1.5},8022,LHX3_HUMAN,3.1.5
LHX4_HUMAN.H11MO.0.D,LHX4_HUMAN.H11MO.0.D,LHX4,LHX4,11,D,HD-LIM factors{3.1.5},89884,LHX4_HUMAN,3.1.5
LHX6_HUMAN.H11MO.0.D,LHX6_HUMAN.H11MO.0.D,LHX6,LHX6,10,D,HD-LIM factors{3.1.5},26468,LHX6_HUMAN,3.1.5
LHX8_HUMAN.H11MO.0.D,LHX8_HUMAN.H11MO.0.D,LHX8,LHX8,18,D,HD-LIM factors{3.1.5},431707,LHX8_HUMAN,3.1.5
LHX9_HUMAN.H11MO.0.D,LHX9_HUMAN.H11MO.0.D,LHX9,LHX9,18,D,HD-LIM factors{3.1.5},56956,LHX9_HUMAN,3.1.5
LMX1A_HUMAN.H11MO.0.D,LMX1A_HUMAN.H11MO.0.D,LMX1A,LMX1A,19,D,HD-LIM factors{3.1.5},4009,LMX1A_HUMAN,3.1.5
LMX1B_HUMAN.H11MO.0.D,LMX1B_HUMAN.H11MO.0.D,LMX1B,LMX1B,18,D,HD-LIM factors{3.1.5},4010,LMX1B_HUMAN,3.1.5
LYL1_HUMAN.H11MO.0.A,LYL1_HUMAN.H11MO.0.A,LYL1,LYL1,14,A,Tal-related factors{1.2.3},4066,LYL1_HUMAN,1.2.3
MAFA_HUMAN.H11MO.0.D,MAFA_HUMAN.H11MO.0.D,MAFA,MAFA,21,D,Maf-related factors{1.1.3},389692,MAFA_HUMAN,1.1.3
MAFB_HUMAN.H11MO.0.B,MAFB_HUMAN.H11MO.0.B,MAFB,MAFB,11,B,Maf-related factors{1.1.3},9935,MAFB_HUMAN,1.1.3
MAFF_HUMAN.H11MO.0.B,MAFF_HUMAN.H11MO.0.B,MAFF,MAFF,18,B,Maf-related factors{1.1.3},23764,MAFF_HUMAN,1.1.3
MAFF_HUMAN.H11MO.1.B,MAFF_HUMAN.H11MO.1.B,MAFF,MAFF,9,B,Maf-related factors{1.1.3},23764,MAFF_HUMAN,1.1.3
MAFG_HUMAN.H11MO.0.A,MAFG_HUMAN.H11MO.0.A,MAFG,MAFG,18,A,Maf-related factors{1.1.3},4097,MAFG_HUMAN,1.1.3
MAFG_HUMAN.H11MO.1.A,MAFG_HUMAN.H11MO.1.A,MAFG,MAFG,8,A,Maf-related factors{1.1.3},4097,MAFG_HUMAN,1.1.3
MAFK_HUMAN.H11MO.0.A,MAFK_HUMAN.H11MO.0.A,MAFK,MAFK,18,A,Maf-related factors{1.1.3},7975,MAFK_HUMAN,1.1.3
MAFK_HUMAN.H11MO.1.A,MAFK_HUMAN.H11MO.1.A,MAFK,MAFK,13,A,Maf-related factors{1.1.3},7975,MAFK_HUMAN,1.1.3
MAF_HUMAN.H11MO.0.A,MAF_HUMAN.H11MO.0.A,MAF,MAF,19,A,Maf-related factors{1.1.3},4094,MAF_HUMAN,1.1.3
MAF_HUMAN.H11MO.1.B,MAF_HUMAN.H11MO.1.B,MAF,MAF,8,B,Maf-related factors{1.1.3},4094,MAF_HUMAN,1.1.3
MAX_HUMAN.H11MO.0.A,MAX_HUMAN.H11MO.0.A,MAX,MAX,10,A,bHLH-ZIP factors{1.2.6},4149,MAX_HUMAN,1.2.6
MAZ_HUMAN.H11MO.0.A,MAZ_HUMAN.H11MO.0.A,MAZ,MAZ,22,A,Factors with multiple dispersed zinc fingers{2.3.4},4150,MAZ_HUMAN,2.3.4
MAZ_HUMAN.H11MO.1.A,MAZ_HUMAN.H11MO.1.A,MAZ,MAZ,11,A,Factors with multiple dispersed zinc fingers{2.3.4},4150,MAZ_HUMAN,2.3.4
MBD2_HUMAN.H11MO.0.B,MBD2_HUMAN.H11MO.0.B,MBD2,MBD2,11,B,,8932,MBD2_HUMAN,
MCR_HUMAN.H11MO.0.D,MCR_HUMAN.H11MO.0.D,NR3C2,NR3C2,17,D,Steroid hormone receptors (NR3){2.1.1},4306,MCR_HUMAN,2.1.1
MECP2_HUMAN.H11MO.0.C,MECP2_HUMAN.H11MO.0.C,MECP2,MECP2,7,C,,4204,MECP2_HUMAN,
MEF2A_HUMAN.H11MO.0.A,MEF2A_HUMAN.H11MO.0.A,MEF2A,MEF2A,13,A,Regulators of differentiation{5.1.1},4205,MEF2A_HUMAN,5.1.1
MEF2B_HUMAN.H11MO.0.A,MEF2B_HUMAN.H11MO.0.A,MEF2B,MEF2B,14,A,Regulators of differentiation{5.1.1},100271849; 4207,MEF2B_HUMAN,5.1.1
MEF2C_HUMAN.H11MO.0.A,MEF2C_HUMAN.H11MO.0.A,MEF2C,MEF2C,13,A,Regulators of differentiation{5.1.1},4208,MEF2C_HUMAN,5.1.1
MEF2D_HUMAN.H11MO.0.A,MEF2D_HUMAN.H11MO.0.A,MEF2D,MEF2D,12,A,Regulators of differentiation{5.1.1},4209,MEF2D_HUMAN,5.1.1
MEIS1_HUMAN.H11MO.0.A,MEIS1_HUMAN.H11MO.0.A,MEIS1,MEIS1,12,A,TALE-type homeo domain factors{3.1.4},4211,MEIS1_HUMAN,3.1.4
MEIS1_HUMAN.H11MO.1.B,MEIS1_HUMAN.H11MO.1.B,MEIS1,MEIS1,9,B,TALE-type homeo domain factors{3.1.4},4211,MEIS1_HUMAN,3.1.4
MEIS2_HUMAN.H11MO.0.B,MEIS2_HUMAN.H11MO.0.B,MEIS2,MEIS2,13,B,TALE-type homeo domain factors{3.1.4},4212,MEIS2_HUMAN,3.1.4
MEIS3_HUMAN.H11MO.0.D,MEIS3_HUMAN.H11MO.0.D,MEIS3,MEIS3,11,D,TALE-type homeo domain factors{3.1.4},56917,MEIS3_HUMAN,3.1.4
MEOX1_HUMAN.H11MO.0.D,MEOX1_HUMAN.H11MO.0.D,MEOX1,MEOX1,16,D,HOX-related factors{3.1.1},4222,MEOX1_HUMAN,3.1.1
MEOX2_HUMAN.H11MO.0.D,MEOX2_HUMAN.H11MO.0.D,MEOX2,MEOX2,11,D,HOX-related factors{3.1.1},4223,MEOX2_HUMAN,3.1.1
MESP1_HUMAN.H11MO.0.D,MESP1_HUMAN.H11MO.0.D,MESP1,MESP1,11,D,Tal-related factors{1.2.3},55897,MESP1_HUMAN,1.2.3
MGAP_HUMAN.H11MO.0.D,MGAP_HUMAN.H11MO.0.D,MGA,MGA,16,D,bHLH-ZIP factors{1.2.6}; TBX6-related factors{6.5.5},23269,MGAP_HUMAN,6.5.5
MITF_HUMAN.H11MO.0.A,MITF_HUMAN.H11MO.0.A,MITF,MITF,10,A,bHLH-ZIP factors{1.2.6},4286,MITF_HUMAN,1.2.6
MIXL1_HUMAN.H11MO.0.D,MIXL1_HUMAN.H11MO.0.D,MIXL1,MIXL1,11,D,Paired-related HD factors{3.1.3},83881,MIXL1_HUMAN,3.1.3
MLXPL_HUMAN.H11MO.0.D,MLXPL_HUMAN.H11MO.0.D,MLXIPL,MLXIPL,19,D,bHLH-ZIP factors{1.2.6},51085,MLXPL_HUMAN,1.2.6
MLX_HUMAN.H11MO.0.D,MLX_HUMAN.H11MO.0.D,MLX,MLX,11,D,bHLH-ZIP factors{1.2.6},6945,MLX_HUMAN,1.2.6
MNX1_HUMAN.H11MO.0.D,MNX1_HUMAN.H11MO.0.D,MNX1,MNX1,19,D,HOX-related factors{3.1.1},3110,MNX1_HUMAN,3.1.1
MSX1_HUMAN.H11MO.0.D,MSX1_HUMAN.H11MO.0.D,MSX1,MSX1,18,D,NK-related factors{3.1.2},4487,MSX1_HUMAN,3.1.2
MSX2_HUMAN.H11MO.0.D,MSX2_HUMAN.H11MO.0.D,MSX2,MSX2,7,D,NK-related factors{3.1.2},4488,MSX2_HUMAN,3.1.2
MTF1_HUMAN.H11MO.0.C,MTF1_HUMAN.H11MO.0.C,MTF1,MTF1,17,C,More than 3 adjacent zinc finger factors{2.3.3},4520,MTF1_HUMAN,2.3.3
MXI1_HUMAN.H11MO.0.A,MXI1_HUMAN.H11MO.0.A,MXI1,MXI1,15,A,bHLH-ZIP factors{1.2.6},4601,MXI1_HUMAN,1.2.6
MXI1_HUMAN.H11MO.1.A,MXI1_HUMAN.H11MO.1.A,MXI1,MXI1,11,A,bHLH-ZIP factors{1.2.6},4601,MXI1_HUMAN,1.2.6
MYBA_HUMAN.H11MO.0.D,MYBA_HUMAN.H11MO.0.D,MYBL1,MYBL1,15,D,Myb/SANT domain factors{3.5.1},4603,MYBA_HUMAN,3.5.1
MYBB_HUMAN.H11MO.0.D,MYBB_HUMAN.H11MO.0.D,MYBL2,MYBL2,10,D,Myb/SANT domain factors{3.5.1},4605,MYBB_HUMAN,3.5.1
MYB_HUMAN.H11MO.0.A,MYB_HUMAN.H11MO.0.A,MYB,MYB,12,A,Myb/SANT domain factors{3.5.1},4602,MYB_HUMAN,3.5.1
MYCN_HUMAN.H11MO.0.A,MYCN_HUMAN.H11MO.0.A,MYCN,MYCN,12,A,bHLH-ZIP factors{1.2.6},4613,MYCN_HUMAN,1.2.6
MYC_HUMAN.H11MO.0.A,MYC_HUMAN.H11MO.0.A,MYC,MYC,11,A,bHLH-ZIP factors{1.2.6},4609,MYC_HUMAN,1.2.6
MYF6_HUMAN.H11MO.0.C,MYF6_HUMAN.H11MO.0.C,MYF6,MYF6,7,C,MyoD / ASC-related factors{1.2.2},4618,MYF6_HUMAN,1.2.2
MYNN_HUMAN.H11MO.0.D,MYNN_HUMAN.H11MO.0.D,MYNN,MYNN,17,D,More than 3 adjacent zinc finger factors{2.3.3},55892,MYNN_HUMAN,2.3.3
MYOD1_HUMAN.H11MO.0.A,MYOD1_HUMAN.H11MO.0.A,MYOD1,MYOD1,15,A,MyoD / ASC-related factors{1.2.2},4654,MYOD1_HUMAN,1.2.2
MYOD1_HUMAN.H11MO.1.A,MYOD1_HUMAN.H11MO.1.A,MYOD1,MYOD1,11,A,MyoD / ASC-related factors{1.2.2},4654,MYOD1_HUMAN,1.2.2
MYOG_HUMAN.H11MO.0.B,MYOG_HUMAN.H11MO.0.B,MYOG,MYOG,13,B,MyoD / ASC-related factors{1.2.2},4656,MYOG_HUMAN,1.2.2
MZF1_HUMAN.H11MO.0.B,MZF1_HUMAN.H11MO.0.B,MZF1,MZF1,13,B,More than 3 adjacent zinc finger factors{2.3.3},7593,MZF1_HUMAN,2.3.3
NANOG_HUMAN.H11MO.0.A,NANOG_HUMAN.H11MO.0.A,NANOG,NANOG,17,A,NK-related factors{3.1.2},79923,NANOG_HUMAN,3.1.2
NANOG_HUMAN.H11MO.1.B,NANOG_HUMAN.H11MO.1.B,NANOG,NANOG,11,B,NK-related factors{3.1.2},79923,NANOG_HUMAN,3.1.2
NDF1_HUMAN.H11MO.0.A,NDF1_HUMAN.H11MO.0.A,NEUROD1,NEUROD1,10,A,Tal-related factors{1.2.3},4760,NDF1_HUMAN,1.2.3
NDF2_HUMAN.H11MO.0.B,NDF2_HUMAN.H11MO.0.B,NEUROD2,NEUROD2,9,B,Tal-related factors{1.2.3},4761,NDF2_HUMAN,1.2.3
NF2L1_HUMAN.H11MO.0.C,NF2L1_HUMAN.H11MO.0.C,NFE2L1,NFE2L1,7,C,Jun-related factors{1.1.1},4779,NF2L1_HUMAN,1.1.1
NF2L2_HUMAN.H11MO.0.A,NF2L2_HUMAN.H11MO.0.A,NFE2L2,NFE2L2,14,A,Jun-related factors{1.1.1},4780,NF2L2_HUMAN,1.1.1
NFAC1_HUMAN.H11MO.0.B,NFAC1_HUMAN.H11MO.0.B,NFATC1,NFATC1,15,B,NFAT-related factors{6.1.3},4772,NFAC1_HUMAN,6.1.3
NFAC1_HUMAN.H11MO.1.B,NFAC1_HUMAN.H11MO.1.B,NFATC1,NFATC1,10,B,NFAT-related factors{6.1.3},4772,NFAC1_HUMAN,6.1.3
NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN.H11MO.0.B,NFATC2,NFATC2,9,B,NFAT-related factors{6.1.3},4773,NFAC2_HUMAN,6.1.3
NFAC3_HUMAN.H11MO.0.B,NFAC3_HUMAN.H11MO.0.B,NFATC3,NFATC3,9,B,NFAT-related factors{6.1.3},4775,NFAC3_HUMAN,6.1.3
NFAC4_HUMAN.H11MO.0.C,NFAC4_HUMAN.H11MO.0.C,NFATC4,NFATC4,10,C,NFAT-related factors{6.1.3},4776,NFAC4_HUMAN,6.1.3
NFAT5_HUMAN.H11MO.0.D,NFAT5_HUMAN.H11MO.0.D,NFAT5,NFAT5,11,D,NFAT-related factors{6.1.3},10725,NFAT5_HUMAN,6.1.3
NFE2_HUMAN.H11MO.0.A,NFE2_HUMAN.H11MO.0.A,NFE2,NFE2,13,A,Jun-related factors{1.1.1},4778,NFE2_HUMAN,1.1.1
NFIA_HUMAN.H11MO.0.C,NFIA_HUMAN.H11MO.0.C,NFIA,NFIA,15,C,Nuclear factor 1{7.1.2},4774,NFIA_HUMAN,7.1.2
NFIA_HUMAN.H11MO.1.D,NFIA_HUMAN.H11MO.1.D,NFIA,NFIA,7,D,Nuclear factor 1{7.1.2},4774,NFIA_HUMAN,7.1.2
NFIB_HUMAN.H11MO.0.D,NFIB_HUMAN.H11MO.0.D,NFIB,NFIB,9,D,Nuclear factor 1{7.1.2},4781,NFIB_HUMAN,7.1.2
NFIC_HUMAN.H11MO.0.A,NFIC_HUMAN.H11MO.0.A,NFIC,NFIC,17,A,Nuclear factor 1{7.1.2},4782,NFIC_HUMAN,7.1.2
NFIC_HUMAN.H11MO.1.A,NFIC_HUMAN.H11MO.1.A,NFIC,NFIC,9,A,Nuclear factor 1{7.1.2},4782,NFIC_HUMAN,7.1.2
NFIL3_HUMAN.H11MO.0.D,NFIL3_HUMAN.H11MO.0.D,NFIL3,NFIL3,11,D,C/EBP-related{1.1.8},4783,NFIL3_HUMAN,1.1.8
NFKB1_HUMAN.H11MO.1.B,NFKB1_HUMAN.H11MO.1.B,NFKB1,NFKB1,11,B,NF-kappaB-related factors{6.1.1},4790,NFKB1_HUMAN,6.1.1
NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN.H11MO.0.B,NFKB2,NFKB2,11,B,NF-kappaB-related factors{6.1.1},4791,NFKB2_HUMAN,6.1.1
NFYA_HUMAN.H11MO.0.A,NFYA_HUMAN.H11MO.0.A,NFYA,NFYA,14,A,Heteromeric CCAAT-binding factors{4.2.1},4800,NFYA_HUMAN,4.2.1
NFYB_HUMAN.H11MO.0.A,NFYB_HUMAN.H11MO.0.A,NFYB,NFYB,13,A,Heteromeric CCAAT-binding factors{4.2.1},4801,NFYB_HUMAN,4.2.1
NFYC_HUMAN.H11MO.0.A,NFYC_HUMAN.H11MO.0.A,NFYC,NFYC,14,A,Heteromeric CCAAT-binding factors{4.2.1},4802,NFYC_HUMAN,4.2.1
NGN2_HUMAN.H11MO.0.D,NGN2_HUMAN.H11MO.0.D,NEUROG2,NEUROG2,12,D,Tal-related factors{1.2.3},63973,NGN2_HUMAN,1.2.3
NKX21_HUMAN.H11MO.0.A,NKX21_HUMAN.H11MO.0.A,NKX2-1,NKX2-1,10,A,NK-related factors{3.1.2},7080,NKX21_HUMAN,3.1.2
NKX22_HUMAN.H11MO.0.D,NKX22_HUMAN.H11MO.0.D,NKX2-2,NKX2-2,8,D,NK-related factors{3.1.2},4821,NKX22_HUMAN,3.1.2
NKX23_HUMAN.H11MO.0.D,NKX23_HUMAN.H11MO.0.D,NKX2-3,NKX2-3,11,D,NK-related factors{3.1.2},159296,NKX23_HUMAN,3.1.2
NKX25_HUMAN.H11MO.0.B,NKX25_HUMAN.H11MO.0.B,NKX2-5,NKX2-5,8,B,NK-related factors{3.1.2},1482,NKX25_HUMAN,3.1.2
NKX28_HUMAN.H11MO.0.C,NKX28_HUMAN.H11MO.0.C,NKX2-8,NKX2-8,9,C,NK-related factors{3.1.2},26257,NKX28_HUMAN,3.1.2
NKX31_HUMAN.H11MO.0.C,NKX31_HUMAN.H11MO.0.C,NKX3-1,NKX3-1,12,C,NK-related factors{3.1.2},4824,NKX31_HUMAN,3.1.2
NKX32_HUMAN.H11MO.0.C,NKX32_HUMAN.H11MO.0.C,NKX3-2,NKX3-2,10,C,NK-related factors{3.1.2},579,NKX32_HUMAN,3.1.2
NKX61_HUMAN.H11MO.0.B,NKX61_HUMAN.H11MO.0.B,NKX6-1,NKX6-1,19,B,NK-related factors{3.1.2},4825,NKX61_HUMAN,3.1.2
NKX61_HUMAN.H11MO.1.B,NKX61_HUMAN.H11MO.1.B,NKX6-1,NKX6-1,7,B,NK-related factors{3.1.2},4825,NKX61_HUMAN,3.1.2
NKX62_HUMAN.H11MO.0.D,NKX62_HUMAN.H11MO.0.D,NKX6-2,NKX6-2,11,D,NK-related factors{3.1.2},84504,NKX62_HUMAN,3.1.2
NOBOX_HUMAN.H11MO.0.C,NOBOX_HUMAN.H11MO.0.C,NOBOX,NOBOX,9,C,Paired-related HD factors{3.1.3},135935,NOBOX_HUMAN,3.1.3
NOTO_HUMAN.H11MO.0.D,NOTO_HUMAN.H11MO.0.D,NOTO,NOTO,11,D,NK-related factors{3.1.2},344022,NOTO_HUMAN,3.1.2
NR0B1_HUMAN.H11MO.0.D,NR0B1_HUMAN.H11MO.0.D,NR0B1,NR0B1,10,D,DAX-related receptors (NR0){2.1.7},190,NR0B1_HUMAN,2.1.7
NR1D1_HUMAN.H11MO.0.B,NR1D1_HUMAN.H11MO.0.B,NR1D1,NR1D1,19,B,Thyroid hormone receptor-related factors (NR1){2.1.2},9572,NR1D1_HUMAN,2.1.2
NR1D1_HUMAN.H11MO.1.D,NR1D1_HUMAN.H11MO.1.D,NR1D1,NR1D1,14,D,Thyroid hormone receptor-related factors (NR1){2.1.2},9572,NR1D1_HUMAN,2.1.2
NR1H2_HUMAN.H11MO.0.D,NR1H2_HUMAN.H11MO.0.D,NR1H2,NR1H2,19,D,Thyroid hormone receptor-related factors (NR1){2.1.2},7376,NR1H2_HUMAN,2.1.2
NR1H3_HUMAN.H11MO.0.B,NR1H3_HUMAN.H11MO.0.B,NR1H3,NR1H3,19,B,Thyroid hormone receptor-related factors (NR1){2.1.2},10062,NR1H3_HUMAN,2.1.2
NR1H3_HUMAN.H11MO.1.B,NR1H3_HUMAN.H11MO.1.B,NR1H3,NR1H3,10,B,Thyroid hormone receptor-related factors (NR1){2.1.2},10062,NR1H3_HUMAN,2.1.2
NR1H4_HUMAN.H11MO.0.B,NR1H4_HUMAN.H11MO.0.B,NR1H4,NR1H4,19,B,Thyroid hormone receptor-related factors (NR1){2.1.2},9971,NR1H4_HUMAN,2.1.2
NR1H4_HUMAN.H11MO.1.B,NR1H4_HUMAN.H11MO.1.B,NR1H4,NR1H4,8,B,Thyroid hormone receptor-related factors (NR1){2.1.2},9971,NR1H4_HUMAN,2.1.2
NR1I2_HUMAN.H11MO.0.C,NR1I2_HUMAN.H11MO.0.C,NR1I2,NR1I2,19,C,Thyroid hormone receptor-related factors (NR1){2.1.2},8856,NR1I2_HUMAN,2.1.2
NR1I2_HUMAN.H11MO.1.D,NR1I2_HUMAN.H11MO.1.D,NR1I2,NR1I2,8,D,Thyroid hormone receptor-related factors (NR1){2.1.2},8856,NR1I2_HUMAN,2.1.2
NR1I3_HUMAN.H11MO.0.C,NR1I3_HUMAN.H11MO.0.C,NR1I3,NR1I3,18,C,Thyroid hormone receptor-related factors (NR1){2.1.2},9970,NR1I3_HUMAN,2.1.2
NR1I3_HUMAN.H11MO.1.D,NR1I3_HUMAN.H11MO.1.D,NR1I3,NR1I3,8,D,Thyroid hormone receptor-related factors (NR1){2.1.2},9970,NR1I3_HUMAN,2.1.2
NR2C1_HUMAN.H11MO.0.C,NR2C1_HUMAN.H11MO.0.C,NR2C1,NR2C1,13,C,RXR-related receptors (NR2){2.1.3},7181,NR2C1_HUMAN,2.1.3
NR2C2_HUMAN.H11MO.0.B,NR2C2_HUMAN.H11MO.0.B,NR2C2,NR2C2,12,B,RXR-related receptors (NR2){2.1.3},7182,NR2C2_HUMAN,2.1.3
NR2E1_HUMAN.H11MO.0.D,NR2E1_HUMAN.H11MO.0.D,NR2E1,NR2E1,17,D,RXR-related receptors (NR2){2.1.3},7101,NR2E1_HUMAN,2.1.3
NR2E3_HUMAN.H11MO.0.C,NR2E3_HUMAN.H11MO.0.C,NR2E3,NR2E3,14,C,RXR-related receptors (NR2){2.1.3},10002,NR2E3_HUMAN,2.1.3
NR2F6_HUMAN.H11MO.0.D,NR2F6_HUMAN.H11MO.0.D,NR2F6,NR2F6,18,D,RXR-related receptors (NR2){2.1.3},2063,NR2F6_HUMAN,2.1.3
NR4A1_HUMAN.H11MO.0.A,NR4A1_HUMAN.H11MO.0.A,NR4A1,NR4A1,9,A,NGFI-B-related receptors (NR4){2.1.4},3164,NR4A1_HUMAN,2.1.4
NR4A2_HUMAN.H11MO.0.C,NR4A2_HUMAN.H11MO.0.C,NR4A2,NR4A2,9,C,NGFI-B-related receptors (NR4){2.1.4},4929,NR4A2_HUMAN,2.1.4
NR4A3_HUMAN.H11MO.0.D,NR4A3_HUMAN.H11MO.0.D,NR4A3,NR4A3,10,D,NGFI-B-related receptors (NR4){2.1.4},8013,NR4A3_HUMAN,2.1.4
NR5A2_HUMAN.H11MO.0.B,NR5A2_HUMAN.H11MO.0.B,NR5A2,NR5A2,11,B,FTZ-F1-related receptors (NR5){2.1.5},2494,NR5A2_HUMAN,2.1.5
NR6A1_HUMAN.H11MO.0.B,NR6A1_HUMAN.H11MO.0.B,NR6A1,NR6A1,13,B,GCNF-related receptors (NR6){2.1.6},2649,NR6A1_HUMAN,2.1.6
NRF1_HUMAN.H11MO.0.A,NRF1_HUMAN.H11MO.0.A,NRF1,NRF1,17,A,NRF{0.0.6},4899,NRF1_HUMAN,0.0.6
NRL_HUMAN.H11MO.0.D,NRL_HUMAN.H11MO.0.D,NRL,NRL,11,D,Maf-related factors{1.1.3},4901,NRL_HUMAN,1.1.3
OLIG1_HUMAN.H11MO.0.D,OLIG1_HUMAN.H11MO.0.D,OLIG1,OLIG1,14,D,Tal-related factors{1.2.3},116448,OLIG1_HUMAN,1.2.3
OLIG2_HUMAN.H11MO.0.B,OLIG2_HUMAN.H11MO.0.B,OLIG2,OLIG2,18,B,Tal-related factors{1.2.3},10215,OLIG2_HUMAN,1.2.3
OLIG2_HUMAN.H11MO.1.B,OLIG2_HUMAN.H11MO.1.B,OLIG2,OLIG2,10,B,Tal-related factors{1.2.3},10215,OLIG2_HUMAN,1.2.3
OLIG3_HUMAN.H11MO.0.D,OLIG3_HUMAN.H11MO.0.D,OLIG3,OLIG3,11,D,Tal-related factors{1.2.3},167826,OLIG3_HUMAN,1.2.3
ONEC2_HUMAN.H11MO.0.D,ONEC2_HUMAN.H11MO.0.D,ONECUT2,ONECUT2,21,D,HD-CUT factors{3.1.9},9480,ONEC2_HUMAN,3.1.9
ONEC3_HUMAN.H11MO.0.D,ONEC3_HUMAN.H11MO.0.D,ONECUT3,ONECUT3,12,D,HD-CUT factors{3.1.9},390874,ONEC3_HUMAN,3.1.9
OSR2_HUMAN.H11MO.0.C,OSR2_HUMAN.H11MO.0.C,OSR2,OSR2,16,C,More than 3 adjacent zinc finger factors{2.3.3},116039,OSR2_HUMAN,2.3.3
OTX1_HUMAN.H11MO.0.D,OTX1_HUMAN.H11MO.0.D,OTX1,OTX1,8,D,Paired-related HD factors{3.1.3},5013,OTX1_HUMAN,3.1.3
OTX2_HUMAN.H11MO.0.A,OTX2_HUMAN.H11MO.0.A,OTX2,OTX2,11,A,Paired-related HD factors{3.1.3},5015,OTX2_HUMAN,3.1.3
OVOL1_HUMAN.H11MO.0.C,OVOL1_HUMAN.H11MO.0.C,OVOL1,OVOL1,9,C,More than 3 adjacent zinc finger factors{2.3.3},5017,OVOL1_HUMAN,2.3.3
OVOL2_HUMAN.H11MO.0.D,OVOL2_HUMAN.H11MO.0.D,OVOL2,OVOL2,8,D,More than 3 adjacent zinc finger factors{2.3.3},58495,OVOL2_HUMAN,2.3.3
OZF_HUMAN.H11MO.0.C,OZF_HUMAN.H11MO.0.C,ZNF146,ZNF146,24,C,More than 3 adjacent zinc finger factors{2.3.3},7705,OZF_HUMAN,2.3.3
P53_HUMAN.H11MO.0.A,P53_HUMAN.H11MO.0.A,TP53,TP53,20,A,p53-related factors{6.3.1},7157,P53_HUMAN,6.3.1
P53_HUMAN.H11MO.1.A,P53_HUMAN.H11MO.1.A,TP53,TP53,13,A,p53-related factors{6.3.1},7157,P53_HUMAN,6.3.1
P5F1B_HUMAN.H11MO.0.D,P5F1B_HUMAN.H11MO.0.D,POU5F1B,POU5F1B,16,D,POU domain factors{3.1.10},5462,P5F1B_HUMAN,3.1.10
P63_HUMAN.H11MO.0.A,P63_HUMAN.H11MO.0.A,TP63,TP63,19,A,p53-related factors{6.3.1},8626,P63_HUMAN,6.3.1
P63_HUMAN.H11MO.1.A,P63_HUMAN.H11MO.1.A,TP63,TP63,11,A,p53-related factors{6.3.1},8626,P63_HUMAN,6.3.1
P73_HUMAN.H11MO.0.A,P73_HUMAN.H11MO.0.A,TP73,TP73,19,A,p53-related factors{6.3.1},7161,P73_HUMAN,6.3.1
P73_HUMAN.H11MO.1.A,P73_HUMAN.H11MO.1.A,TP73,TP73,12,A,p53-related factors{6.3.1},7161,P73_HUMAN,6.3.1
PATZ1_HUMAN.H11MO.0.C,PATZ1_HUMAN.H11MO.0.C,PATZ1,PATZ1,22,C,Factors with multiple dispersed zinc fingers{2.3.4},23598,PATZ1_HUMAN,2.3.4
